问题ID,问题名称,问题领域,严重程度,信号类型,堆栈指纹,完整堆栈,根因描述,引入版本,首现版本,修复版本,发现日期,开始分析日期,定位日期,提修日期,验证通过日期,关闭日期,首现日期,修复类型,修复效果,修复后占比,当前状态,负责人,关联Issue,关联MR,标签,影响架构,备注,趋势数据
vtable,deepin platform plugin,平台插件,P1-严重,SIGSEGV,,,VtableHook::originalFun → VtableHook::resetVfptrFun → DHighDpi::init → XcbNativeEventFilter::nativeEventFilter → QAbstractEventDispatcher::filterNativeEvent,,6.0.60.9,,,,,,,,,,,,已修复,,,,,,VtableHook已修复(6.0.61.25)，事件过滤器新变体出现,"[{""d"": ""2026-01-28"", ""p"": ""14.40""}, {""d"": ""2026-02-04"", ""p"": ""14.30""}, {""d"": ""2026-02-11"", ""p"": ""14.30""}, {""d"": ""2026-03-04"", ""p"": ""5.00""}, {""d"": ""2026-03-18"", ""p"": ""3.00""}, {""d"": ""2026-04-02"", ""p"": ""2.00""}, {""d"": ""2026-04-28"", ""p"": ""2.50""}, {""d"": ""2026-04-20"", ""p"": ""3.94""}, {""d"": ""2026-05-04"", ""p"": ""2.73""}, {""d"": ""2026-05-11"", ""p"": ""2.58""}, {""d"": ""2026-05-24"", ""p"": ""1.93""}, {""d"": ""2026-05-31"", ""p"": ""1.85""}]"
getfiledisplayname,getFileDisplayName,视图框架,P1-严重,SIGSEGV,,,raise → abort → QString::operator= → FileItemData::getFileDisplayName → FileSortWorker::lessThanByOther → malloc_printerr → _int_free,,6.0.60.9,,,,,,,,,,,,待验证,,,,,,旧变体已修复(6.0.61.25)，内存损坏新变体出现,"[{""d"": ""2026-01-28"", ""p"": ""4.30""}, {""d"": ""2026-02-04"", ""p"": ""4.00""}, {""d"": ""2026-02-11"", ""p"": ""4.00""}, {""d"": ""2026-03-04"", ""p"": ""22.10""}, {""d"": ""2026-03-18"", ""p"": ""10.00""}, {""d"": ""2026-04-02"", ""p"": ""12.60""}, {""d"": ""2026-04-28"", ""p"": ""14.34""}, {""d"": ""2026-04-20"", ""p"": ""6.00""}, {""d"": ""2026-05-04"", ""p"": ""11.40""}, {""d"": ""2026-05-11"", ""p"": ""16.31""}, {""d"": ""2026-05-24"", ""p"": ""17.68""}, {""d"": ""2026-05-31"", ""p"": ""10.29""}]"
splitter,Splitter析构,视图框架,P1-严重,SIGSEGV,,,removePersistentIndexData → QPersistentModelIndex析构 → FileView析构 → Splitter析构,,6.0.60.9,,,,,,,,,,,,待验证,,,,,,悬垂指针,"[{""d"": ""2026-03-04"", ""p"": ""3.00""}, {""d"": ""2026-03-18"", ""p"": ""2.00""}, {""d"": ""2026-04-02"", ""p"": ""8.00""}, {""d"": ""2026-04-28"", ""p"": ""15.35""}, {""d"": ""2026-04-20"", ""p"": ""2.81""}, {""d"": ""2026-05-04"", ""p"": ""1.28""}, {""d"": ""2026-05-11"", ""p"": ""2.04""}, {""d"": ""2026-05-24"", ""p"": ""1.07""}, {""d"": ""2026-05-31"", ""p"": ""1.85""}]"
thumbnail,Thumbnail处理,缩略图,P1-严重,SIGSEGV,,,raise → abort → __verbose_terminate_handler → terminate → QUrl::operator< → ThumbnailFactory::doJoinThumbnailJob,,6.0.60.9,,,,,,,,,,,,已修复,,,,,,C++异常未捕获+URL比较崩溃,"[{""d"": ""2026-03-04"", ""p"": ""6.80""}, {""d"": ""2026-03-18"", ""p"": ""3.00""}, {""d"": ""2026-04-02"", ""p"": ""3.00""}, {""d"": ""2026-04-28"", ""p"": ""7.88""}, {""d"": ""2026-04-20"", ""p"": ""4.32""}, {""d"": ""2026-05-04"", ""p"": ""3.37""}, {""d"": ""2026-05-11"", ""p"": ""3.76""}, {""d"": ""2026-05-24"", ""p"": ""4.39""}, {""d"": ""2026-05-31"", ""p"": ""2.53""}]"
clipboard,libdfm-base剪贴板,剪贴板,P1-严重,SIGSEGV,,,QXcbConnection::getSelectionOwner → GlobalData::onClipboardDataChanged → QImageWriter::write → QFactoryLoader::metaData,,6.0.60.9,,,,,,,,,,,,复现中,,,,,,X11连接失效+插件加载崩溃,"[{""d"": ""2026-04-02"", ""p"": ""1.00""}, {""d"": ""2026-04-28"", ""p"": ""6.51""}, {""d"": ""2026-04-20"", ""p"": ""8.63""}, {""d"": ""2026-05-04"", ""p"": ""8.51""}, {""d"": ""2026-05-11"", ""p"": ""8.91""}, {""d"": ""2026-05-24"", ""p"": ""6.97""}, {""d"": ""2026-05-31"", ""p"": ""11.47""}]"
workspace,dfmplugin_workspace,视图框架,P1-严重,SIGSEGV,,,qHash(QString) → qHash(QUrl) → QHash::value → FileSortWorker::childData → FileViewModel::index,,6.0.60.9,,,,,,,,,,,,复现中,,,,,,QHash并发读写，迭代器失效,"[{""d"": ""2026-04-20"", ""p"": ""3.00""}, {""d"": ""2026-05-04"", ""p"": ""5.78""}, {""d"": ""2026-05-11"", ""p"": ""6.55""}, {""d"": ""2026-05-24"", ""p"": ""6.97""}, {""d"": ""2026-05-31"", ""p"": ""5.73""}]"
dfm_io,dfm-io,IO模块,P1-严重,SIGSEGV,,,DFileInfo::uri → FileOperateBaseWorker::syncFilesToDevice → QObject::thread → SettingsPrivate::makeSettingFileToDirty,,6.0.60.9,,,,,,,,,,,,复现中,,,,,,,"[{""d"": ""2026-04-20"", ""p"": ""0.94""}, {""d"": ""2026-05-04"", ""p"": ""1.12""}, {""d"": ""2026-05-11"", ""p"": ""2.68""}, {""d"": ""2026-05-24"", ""p"": ""5.04""}, {""d"": ""2026-05-31"", ""p"": ""2.36""}]"
deleted,(deleted)库文件删除,其他,P1-严重,SIGSEGV,,,n/a → n/a → n/a（libQt5Core.so.5.11.3 deleted）,,6.0.61.17,,,,,,,,,,,,待验证,,,,,,升级过程中库文件被删除，97%发生在daemon进程,"[{""d"": ""2026-04-28"", ""p"": ""22.00""}, {""d"": ""2026-04-20"", ""p"": ""48.59""}, {""d"": ""2026-05-04"", ""p"": ""41.89""}, {""d"": ""2026-05-11"", ""p"": ""38.95""}, {""d"": ""2026-05-24"", ""p"": ""35.69""}, {""d"": ""2026-05-31"", ""p"": ""45.03""}]"
fileview,FileView索引,视图框架,P1-严重,SIGSEGV,,,QHashData::detach_helper → removePersistentIndexData → QPersistentModelIndex析构,,6.0.60.9,6.0.61.25,,,,,,,,,,,已修复,,,,,,,"[{""d"": ""2026-01-28"", ""p"": ""3.60""}, {""d"": ""2026-02-04"", ""p"": ""3.30""}, {""d"": ""2026-02-11"", ""p"": ""3.30""}, {""d"": ""2026-03-04"", ""p"": ""9.00""}, {""d"": ""2026-03-18"", ""p"": ""4.00""}, {""d"": ""2026-04-02"", ""p"": ""3.00""}, {""d"": ""2026-04-28"", ""p"": ""2.00""}]"
fileselection,FileSelectionModel,视图框架,P1-严重,SIGSEGV,,,FileSelectionModel::~FileSelectionModel → removePersistentIndexData,,6.0.60.9,6.0.61.25,,,,,,,,,,,已修复,,,,,,,"[{""d"": ""2026-01-28"", ""p"": ""3.20""}, {""d"": ""2026-02-04"", ""p"": ""3.00""}, {""d"": ""2026-02-11"", ""p"": ""3.00""}, {""d"": ""2026-03-04"", ""p"": ""6.60""}, {""d"": ""2026-03-18"", ""p"": ""2.00""}, {""d"": ""2026-04-02"", ""p"": ""2.00""}, {""d"": ""2026-04-28"", ""p"": ""1.50""}]"
fileitem_displayname,FileItemData displayName,视图框架,P1-严重,SIGSEGV,,,QString::operator= → FileItemData::getFileDisplayName → FileSortWorker::lessThan,,6.0.60.9,6.0.61.25,,,,,,,,,,,已修复,,,,,,,"[{""d"": ""2026-01-28"", ""p"": ""3.10""}, {""d"": ""2026-02-04"", ""p"": ""2.80""}, {""d"": ""2026-02-11"", ""p"": ""2.80""}, {""d"": ""2026-03-04"", ""p"": ""3.00""}, {""d"": ""2026-03-18"", ""p"": ""1.00""}]"
anything,Anything守护,守护进程,P1-严重,SIGSEGV,,,libdaemonplugin-anything.so → Qt5Core → QThread,,6.0.61.11,6.0.61.15,,,,,,,,,,,已修复,,,,,,Qt线程管理崩溃,"[{""d"": ""2026-04-02"", ""p"": ""12.30""}]"
